,title,date,contents,link
0,가뭄지역 피해 눈덩이목타는 지구촌수천만명 고통,2000.05.01.,지구촌 곳곳이 극심한 가뭄에 시달리고 있다. 특히 가뭄이 심한 곳은 인도 파키스탄 아프가니스탄 등 서남아시아 일부 지역. AP통신 등 외신은 100년이래 최악의 가뭄으로 이 지역에서만8000만명 이상이 고통을 겪고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000000169
1,살맛나는 세상성북자활센터 노숙자에 헌옷 나눠주기,2000.05.05.,"이날 뜻밖의 옷선물 은 오랜 가뭄끝의 촉촉한 단비처럼 이들의 가슴을 적셔주었다. 두달전부터 매주 한 차례씩 서울 용산역과 영등포역일대의 노숙자들을 찾아 '사랑의 헌옷 나누기 행사'를 벌여온 정실장은 ""이웃의 작은...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001648
2,레이커스 역시 우승 0순위 2 진출,2000.05.06.,레이커스의 강력한 압박수비에 당황한 새크라멘토는 77개의 야투중 22개(성공률 33.7%)만을 성공시키는 골가뭄에 시달렸다. 크리스 웨버(20득점 4어시스트)를 제외한 새크라멘토 그 누구에게도 두자리수 득점을...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000002203
3,아침을 열며서정인난봉산 품에 안기니,2000.05.07.,처음 올랐을 때 딴 곳에서 가뭄에 말라 물이 찔찔 떨어지는 샘을 만났다. 10분을 받아서 한 잔을 마셨다.... 샘은 그동안의 가뭄의 계속을 견디지 못하고 실낱같은 줄기가 방울방울로 바뀌어 있었다. 한참을 옹색하게...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000001138
4,발언대최중근댐 더 만들어 물부족 대비해야,2000.05.09.,"금년 들어 전국의 평균 강수량이 예년의 절반에도 못 미치는 봄 가뭄이 계속되면서 강원도에서 큰 산불이... 지난해 7, 8월 기록적인 홍수 피해를 겪었는데 몇 개월 지나지 않아 가뭄으로 제한급수를 하고 있는 것이다....",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000002368
5,세계 환경보호위해 개발지상주의 수정,2000.05.10.,세계은행이 제시한 새 대출 방침의 3대 목표는 △대기오염과 수인성 질병 등을 방지하는 것 △무질서한 천연자원 개발을 막아 쾌적한 환경을 유지하는 것 △홍수와 가뭄 등 자연재난 시에도 피해를 최소화하는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000002721
6,명예의 전당발달장애 아동들에 새희망준 유완영회장,2000.05.12.,"유회장의 기증행위는, 오랜 가뭄끝에 온 단비처럼 ""세상은 아름다운 사람이 훨씬 더 많다""는 것을 살감케 한다. 그는 연세대 의대 김동구교수로부터 ""뇌성마비나 발육장애등 각종 발달장애때문에 많은 어린이들이...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000003054
7,오늘의 날씨13일해 품은 구름이슬비 살짝,2000.05.12.,지난해 세계 곳곳에서 극심한 가뭄과 기상이변을 일으켰던 ‘라니냐’ 현상이 마침내 수그러들 조짐을 보인다는 소식이다. 미 항공우주국(NASA)은 태평양의 기온 하강 현상인 ‘라니냐’가 이미 동태평양에서는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000003155
8,현금보기 힘들어요수송경비원 8천명 파업,2000.05.14.,프랑스가 9일부터 시작된 현금수송 경비원들의 파업으로 현금 가뭄에 시달리고 있다. 상점마다 현금이 떨어져 거스름돈을 제대로 주지 못하고 있으며 슈퍼마켓 등 대형상가들은 고객들에게 100프랑(약 1만5000원) 미만의...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000003358
9,기상라니냐 올 여름 사라질 것,2000.05.17.,스페인어로 ‘여자아이’를 뜻하는 라니냐는 태평양 적도 부근의 해수면 온도가 급속히 낮아지는 현상으로 가뭄 홍수 폭염 한파 등의 이상기후를 일으키는 것으로 알려져 있다. 기상전문가들은 98년과 99년 여름...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000004446
10,한반도크기 지하 호수 호주 서부서 발견,2000.05.18.,퍼스는 지하 호수가 발견된 호주 서부의 중심도시로 최근 가뭄 때문에 수자원 확보에 비상이 걸렸다. 회사측은 “호수물은 바닷물의 3분의 1 정도의 염분을 포함하고 있어 간단한 정수 장치만 있으면 마실 물로 바꿀...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000004816
11,낙동강 하류 4급수 전락위기가뭄여파 수질악화,2000.05.23.,특히 계속된 가뭄 등의 여파로 하류지역의 수질은 4급수에 육박하고 있으며상류 안동호(安東湖)는... 낙동강환경관리청 추경진(秋璟鎭)수질계장은 “하류지점 수질이 악화되고 있는 것은 가뭄의 여파로 하천유지...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000005875
12,날씨게속된 가뭄,2000.05.24.,1967년 5월엔 계속된 가뭄으로 추풍령 이북지방의 못자리가 말라들고 천수답이 갈라졌다. 이 때문에 모심기가 늦어지고 보리에 쭉정이가 많이 생겨 피해가 막심했다. 서울의 수원지 물도 줄어 시내 전역의 수도선 중 24.5...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006217
13,오늘의 날씨모내기철 반가운 비소식,2000.05.26.,천문학자들은 올해 유독 가뭄과 더위가 심한 이유에 대해 11년 주기로 움직이는 태양의 흑점 활동이 올해 최고조에 달해 대기의 온도가 높아지기 때문이라고 설명. 그러나 오늘은 더위가 한풀 꺾이겠다. 전국이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006821
14,지구 자연 인간환경의 복수아마존 열대림 파괴,2000.05.28.,전문가들은 브라질 북동부지방의 오랜 가뭄을 아마존의 열대림에서 빈발하는 화재와 삼림감소로 인한 온난화에서 기인하는 것으로 추정하고 있다. 사태의 심각성을 깨달은 브라질정부도 대통령 직속기구로 아마존...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000007065
15, 베이징 물배급제로 용수부족 타개나서,2000.05.29.,중국 베이징(北京)시가 극심한 가뭄 등에 따른 물 부족으로 용수 공급 위기에 직면해 사상 처음으로 물... 중국은 지난해 10여년 만에 최악의 가뭄이 발생해 중부 지역의 1550여만명이 식수 및 용수난을 겪는 등 극심한...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000007385
16,e포터파키스탄 극심한 가뭄으로 피폐600여명 사망,2000.05.31.,파키스탄 서부 발루치스탄주와 남부의 신드주가 3년동안 계속되고 있는극심한 가뭄으로 지난 2개월동안... 이번 가뭄은 전세계적으로 영향을 주고 있으나 서남아시아에 특히 심하여 파키스탄 남서부 신드...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000007905
17,오늘의 날씨1일내고향 보리밭 노란 물결,2000.05.31.,올해는 봄철 가뭄의 영향으로 수확이 약간 늦어졌다. 농림부에 따르면 5월 하순부터 제주도에서 시작된 보리 수확이 이달 보름까지는 경남북 전남북 등지에서 끝날 전망이다. 보리는 이모작이 가능한 남부지방이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000007969
18,이슈추적지방의원 놀자 외유 민초들 분노,2000.06.01.,또 전남 함안군의회도 가뭄 등으로 농민들이 고통받고 있던 4월 하순 공무원 2명을 포함해 의원 10명 전원이 3600만원을 들여 북유럽 7개국을 다녀왔다. 강원 홍천군의회는 의원 8명과 수행공무원 2명 등 10명이 1인당...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000008353
19,서부 대개발황무지를 공단으로,2000.06.04.,이 때문에 이 지역은 늘 가뭄과 빈곤에 시달려왔다. ▼동부지역과 빈부격차 커▼ 중국 동부연안지역은 개혁개방 20여년간 연평균 10% 이상의 빠른 발전을 보여왔다. 그러나 간수성 등 서부지역은 7%를 밑돌았다. 간쑤성의...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000008976
