,title,date,contents,link
0,양궁대표선발전김수녕 4차관문도 통과,2000.05.10.,강풍이 불고 비가 쏟아지는 악천후 속에서 양궁국가대표 5차 선발전에 진출할 남녀 12명씩이 가려졌다. 10일 광주 서향순양궁장에서 열린 국가대표 4차 선발전에서 김남순(인천시청)과 오교문(인천제철)이 종합배점...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000002715
1,골프코닝클래식1김미현 선두 일낼 것 같은 예감,2000.05.26.,이날 김미현은 최고시속 40㎞의 강풍을 정확한 드라이브샷과 펀치샷으로 극복했고 무리한 코스 공략보다는 신중한 '안전 운행' 으로 '노보기' 플레이를 펼쳤다. 특히 4개의 파5홀 가운데 14번홀을 제외한 나머지...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000006799
2,막오른 재벌해체나누되 느슨한 협력은 유지,2000.06.04.,화재가 발생할 때는 불길이 삽시간에 번지게 돼 선단식이 불리하지만 강풍이 불 때는 선박들을 묶어 놓는 편이 피해를 줄이는 해법이 될 수 있다는 것. 그는 “재벌 해체라는 명분에 얽매여 모범 답안 마련에...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000008798
3,영화안방극장도 한국영화 강풍주유소 1위,2000.06.15.,한국영화가 마침내 ‘안방극장’ 정상에 올랐다. 비디오대여점 체인인 ‘영화마을’이 전국 677개 가맹점의 비디오 대여회수를 종합해 발표한 ‘2000년도 상반기 대여순위’에서 한국영화 ‘주유소습격사건’이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=020&aid=0000011021
4,서울 목동에 국내 최고층 5469층 아파트 짓는다,2000.06.19.,"또 가장 강력한 지진인 리히터 규모 7의 지진과 100년 주기의 강풍에도견딜 수 있도록 내진(耐震) 내풍(耐風) 시스템이 적용됐고, 가구별로 일조권과 통풍성이 좋도록 하기 위해 건물 외관이 선풍기 날개 모양으로...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000011641
5,읽기 히말라야의 영하 40도 혹한에 맞서는 사투,2000.07.07.,‘희박한 공기속으로’에서 박대장은 정상을 앞두고 강풍과 폭설로 안타깝게 뒤로 물러서야 했고 ‘검은 산 마칼루’에서는 불의의 사고로 죽은 세르파 쌍게의 전통 장례식을 전했다. 마칼루 등 히말라야의 해발...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=020&aid=0000015098
6,태풍 카이탁  전국 큰비11일 최고 200mm,2000.07.10.,"기상청은 천둥번개와 강풍을 동반한 많은 비가 예상되므로 수방 대책과주민보호, 해안 저지대 침수 대비 등에 각별히 주의하라고 당부했다. 이에 앞서 기상청은 10일 오전 11시를 기해 제주도 일대에 태풍경보를...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000015527
7,부동산높게 더 높게도심 초고층빌딩 건설 붐,2000.07.16.,초고층 빌딩은 옆에서 가해지는 충격에 약해 태풍 같은 강풍이 불면 좌우로 심하게 흔들릴 가능성이 있다.... 기준)의 강풍에도 건물이 좌우로 25∼30㎝ 흔들리는 데 그친다. ■환기는 어떻게? 초고층 건물은 바람 때문에...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000016597
8,태풍 한반도 비켜갈듯영남 강풍동반 비,2000.07.30.,"기상청은 “태풍이 열대성 폭풍으로 다소 약화되긴 했지만 여전히 비구름대와 강풍을 동반하고 있어 남해안과 동해안의 피서객들은 주의해야 한다”며 영남지역에는 40∼80㎜(일부 100㎜ 이상), 강원 동해안에는 20...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000018962
9,전역 기상재해 몸살산불무더위물난리 고통,2000.08.17.,인근 아이다호와 네바다주 등에서도 헬기의 진화작업에도 불구하고 강풍을 타고 산불이 계속 확산되고 있다. 가장 큰 피해를 보고 있는 몬타나주에서는 무려 96만4700에이커가 화염에 휩싸이면서 주전체가...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000021755
