,title,date,contents,link
0,제2의녹색혁명 단위생식연구 한창 20년째 실험중,2000.05.19.,쌀이 주식인 우리나라에서도 일부 과학자들을 중심으로 적은 강수량과 병충해 냉해 등에 잘 버티는 벼 종자를 값싸고 쉽게 생산하려는 목적으로단위생식이 연구되고 있다. ytceong@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000005097
1,환경단체들 새만금 공동조사 편파적이다 ,2000.05.22.,그에 따르면 환경영향분과(분과장 양재삼 군산대 교수)의 경우△ 적조발생으로 인한 피해 △ 해창석산등 산 파괴로 인한 환경영향 △ 기상이변으로 인한 냉해 피해 등이 조사과정에서 전혀 고려되지 않고 있으며...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000005441
2,식물 게놈지도 내달완성,2000.07.06.,이같은 유전학 지식을 곡물에 응용하면 병충해 냉해 수해 등에 특별히 강하거나 영양이 더 풍부하고 적응력이 뛰어난 새 품종을 개량할 수 있다. 결국 식물 게놈지도 완성은 쌀 옥수수 등 인류의 주된 영양섭취원이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000014912
3,부산경남울산배 삽시다 재배농가돕기 운동,2000.09.20.,울산지역 배 재배농가는 지난 봄 냉해에 이어 태풍 사오마이 때문에 낙과(落果)피해를 입어 올해 배 생산량이 지난해(3만2000t)에 비해 10%가량줄어든 2만9000t에 불과할 전망이다. 여기에다 올해는 추석이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000027171
4,한방이야기독화살 맞은 궁예 치료로 독 배출 한방에선 가능,2000.12.26.,이는 죄인의 체질이 냉해 열독이 오히려 약이 됐다고 해석할 수 있다. 궁예의 경우는 한 사발의 사약에 비하면 작은 양의 화살독을 체력으로 버티며혼수상태로 있었다고 보인다. 초오독의 해독제로는 감초 검은콩 황태...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000040946
5,강원철원 주민들 한탄강 하류댐 추진에 반발,2001.02.27.,철원군의회와 번영회는 “철원지역은 전국적으로 알려진 곡창지대로 이댐이 건설될 경우 자주 안개가 발생해 냉해로 인한 재산피해와 환경파괴등이 우려된다”고 주장했다. 특히 상당수 주민들은 이미...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000050325
6,기고정재춘새만금사업 멈추면 피해 더 크다,2001.03.26.,새만금사업은 냉해로 인해 먹을거리문제 해결이 심각했던 80년대 초부터 식량안보 차원에서 조사연구가 시작되면서 91년에 국책사업으로 선정돼 그동안 순조롭게 추진돼 왔다. 그러나 96년 말 시화호 오염이 사회문제가 된...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000055112
7,쇼핑국수 맛은 국물맛농축 육수 인기,2001.05.24.,찬음식이 많은 여름철 냉해지기 쉬운 속을 풀어주는 맑은장국 소면을 위한 육수제품도 많다. 기꼬망 브랜드의 ‘소면 쯔유’는 대두간장을 기본으로 각종 양념과 가다랭이 정어리 다시마추출물 등이 들어있다. 물을...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000065893
8,과학북극에 한국기지 세운다,2001.09.24.,또 북극에 살고 있는 식물의 생태를 통해 추운 기후에 오래 견딜 수 있는 냉해 유전자나 단백질 등 새로운 생물 자원도 발굴하기로 했다. 연구팀은 해양수산부와 함께 북극에서 석유 등 지하자원 발굴도 추진할계획이다....,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000086960
9,중국 벼품종 국내 밀반입철원등 6만여평서 재배,2001.10.06.,중국 벼는 국산 벼에 비해 미질과 수확량은 떨어지지만 냉해에 다소 강한 것으로 알려졌다. 농림부는 재배 중인 중국 벼에 대한 검역을 실시한 결과 병해충은 발견되지 않았다고 덧붙였다. sckim007@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000088588
10,이슈추적김장철 채소값 폭락농민 시름,2001.11.07.,"강원 홍천군에서 배추농사를 짓고 있는 이모씨(52)는 “차라리 기온이 며칠간 3, 4도 이하로 뚝 떨어져 전국의 배추재배 농가 절반이 냉해로 농사를 망쳐야 나머지 농가들만이라도 살아남을 수 있을 것”이라고...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000094623
11,대구경북경북 상주기상대 문 열어,2001.12.12.,상주기상대 건립으로 지리적 특성에 따라 자주 발생하는 집중호우와 한해 냉해 같은 기상변화에도 신속한 예보가 가능해질 것으로 기대된다. &lt;상주=이권효기자&gt;boriam@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000102983
12,불청객 엘니뇨 올해도 온다,2002.03.28.,"이와 관련, 페루 정부는 최근 해수 온난화로 냉해 어종인 앤초비가 사라지고 열대 어종들이 나타났다며 이는 97년 엘니뇨 당시에도 발생했던 현상이라고 밝혔다. 선대인기자 eodls@donga.com ▼엘니뇨란?▼ 엘니뇨란...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000121009
13,올해 쌀생산량 3465만섬에 그칠듯작년보다 95 줄어,2002.10.07.,한국의 쌀 생산량은 1995년 전국적인 냉해로 3260만섬을 기록한 이후 매년 3500만섬대를 웃돌았다. 이처럼 올해 쌀 생산량이 크게 줄어든 이유는 태풍 ‘루사’와 비 피해가 컸고 벼 재배면적이 작년보다 2.8%(2만9939...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000155035
