,title,date,contents,link
0,화랑가신영상전 ,2000.10.24.,02―738―5074 ▽이성현전〓미술대전 대상 수상자인 작가가 빈들 가을비 대설(大雪) 등의 주제로 가을 겨울 산천의 적막함과 혼돈을 표현한 수묵화. 28일부터11월 6일까지 서울 종로구 인사동 갤러리상. 02―730...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000032142
1,늦깎이 스노 25득점필라델피아 7연승,2000.11.12.,미국프로농구(NBA)에 ‘대설주의보’가 내려졌다. 그 주인공은 바로 필라델피아 세븐티식서스의 포인트가드 에릭 스노(Snow). 미시간주립대를 거쳐 95년 NBA에 뛰어든 스노는 그동안 주로 벤치 신세였다....,https://sports.news.naver.com/news.nhn?oid=020&aid=0000034614
2,스노 25득점필라델피아 7연승,2000.11.13.,미국프로농구(NBA)에 ‘대설주의보’가 내려졌다. 그 주인공은 바로 필라델피아 세븐티식서스의 포인트가드 에릭 스노(Snow). 미시간주립대를 거쳐 95년 NBA에 뛰어든 스노는 그동안 주로 벤치 신세였다....,https://sports.news.naver.com/news.nhn?oid=020&aid=0000034715
3,강원산간 17일까지 큰눈미시령 차량 전면통제,2000.11.16.,"16일 강원 중북부 산간지방에 올 겨울 들어 첫 대설경보가 내려진 가운데 인제∼고성간 미시령 고갯길의 대형차량 진입이 통제되고 있다. 강릉지방기상청은 이날 오후 4시 현재 미시령 23.5㎝, 대관령 19.4...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000035174
4,강원 산간 17일까지 큰눈 미시령 차량 전면통제,2000.11.16.,16일 강원 중북부 산간지방에 올 겨울 들어 첫 대설경보가 내려진 가운데 인제∼고성간 미시령 고갯길의 차량통행이 오후 5시를 기해 전면 통제됐다. 경찰은 이날 0시30분부터 버스 등 대형차량의 운행을 통제하고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000035317
5,7일 대설 눈소식 감감10일께 눈비 조금 내릴듯,2000.12.06.,7일이 대설(大雪)이지만 함박눈 소식은 여전히 없다. 소설(小雪)인 지난달 22일부터 현재까지 전국 10대 주요 도시 강수량 평균은 2.7㎜로 지난해 4.4㎜와 98년 17.9㎜에 크게 못 미치는 수준. 게다가 비나 진눈깨비가 많아...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000037973
6,화이트 크리스마스경기북부 대설주의보,2000.12.25.,"기상청은 ""이날 밤12시를 기해 경기북부 지역에 대설주의보를 발령하고경기북부는 25일까지 지역에 따라 2∼7㎝, 충청과 호남지방은 2∼5㎝의 눈이 내리겠다"" 고 예보했다. 기상청은 ""찬 대륙성 고기압이 급속히...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000040566
7,오늘 전국 큰 눈영동 최고 30cm 예상,2001.01.06.,기해 대설주의보가 발령될 것”이라고 발표했다. 7일 예상되는 적설량은 △강원 영동 5∼30㎝ △전라 경남북 5∼20㎝ △중서부 2∼10㎝ 등. 기상청 관계자는 “지역에 따라 많은 눈이 예상되므로 시설물 관리를 철저히...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000042465
8,20년만의 폭설 전국마비,2001.01.07.,대설경보가 내려진 서울을 비롯한 중부와 충청 경기북부지방에 7일 새벽부터 올 겨울 들어 가장 많은 눈이... 서울 경기와 강원 산간 지방에는 대설경보가 내려졌으며 충청 지방과 산간 지역을 제외한 강원 지방에는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000042500
9,폭설대란 제설현장 고위공무원 없었다,2001.01.08.,&lt;정연욱·남경현·이동영기자&gt;jyw11@donga.com ▼미국의 폭설 대책…주지사-시장 제설작업 직접지휘▼ 미국에서는 대설주의보가 내리는 즉시 주지사 시장 주재로 대책을 강구한다. 버지니아주 페어팩스 카운티의 경우 눈이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000042699
10,사설폭설에도 아랑곳않는 복지부동,2001.01.08.,중앙재해대책본부는 대설주의보가 내려진 6일 저녁부터 관련 공무원에 대해 비상대기 지시를 내리고 일요일인 7일 오전 비상근무령을 발동했다. 하위직 공무원들은 지난해 말 화이트 크리스마스에 이어 이번에 또...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000042744
11,폭설통금 사흘째제설제도 바닥,2001.01.09.,재해대책본부는 이날 오전 9시 서울과 경기지역에 내려진 대설주의보가오후 강원 영서 및 산간지역 등으로 확대되고 남해와 서해에 폭풍주의보가 발효됨에 따라 건설교통부 농림부 지방자치단체 등에 교통소통 및...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000042923
12,전국이 얼어 붙었다 15일 서울 영하 17도철원 영하 27도,2001.01.14.,"한편 기상청은 14일 충남과 전남북, 제주도 지역에 대설주의보를 내리고 시설물 관리와 교통안전에 주의할 것을 당부했다. 휴일인 14일 서울의 최저기온은 영하 16.7도로 90년1월26일의 영하 16.9도 이래 가장...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000043505
13,동아광장이규민우리의 부끄러운 자화상,2001.01.19.,지난번 대설 때 국내공항에서 빚어진 일들이 그에 해당된다. 폭설로 항공기가 결항하는 것은 겨울철이 되면 세계 어느나라에서나 흔히 일어나는 일이다. 신기한 것은 선진국 승객들일수록 천재지변으로 빚어진 상황에...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000044435
14,강원 영동지역 대설주의보,2001.01.26.,기상청은 26일 오후 9시를 기해 강원 영동지역에 대설주의보를 내렸다. 기상청은 “이날 오후 9시 현재 강원 영동지역에 최고 5㎝의 눈이 내렸으며 27일 오전까지 5∼15㎝가 더 내려 예상 적설량이 5∼20㎝에 이를...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000045099
15,문화가장욱진 10주기회고전 연장,2001.02.04.,"이 전시회를 개최 중인 갤러리 현대측은 “혹한과 대설에도 불구하고 2만명이 넘는 관람객이 몰리는 등 관객 반응이 좋아 15일까지 열 예정이던 이 전시의 연장을 결정했다”고 밝혔다. 입장료는 일반 3000원,학생...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000046437
16,인천경기인천 기상특보 전광판 안내,2001.02.06.,"인천시는 신속한 대비로 기상재해 피해를 최소화하기 위해 오는 6월부터 호우, 태풍, 대설 주의보와 경보 등 기상특보를 시내에 설치된 환경전광판 등을 통해 내보내기로 했다. 기상특보가 실리는 전광판은 동인천...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000046641
17,일반건강혀 질병의 종류,2001.02.25.,▽혀 성장장애〓혀가 지나치게 큰 대설(大舌)증이 대표적 질환. 치아를밖으로 밀어내 치아의 위치나 배열을 망가뜨려 얼굴을 기형으로 만든다. 갑상선기능저하증 다운증후군 혈관종 림프관종 등이 원인. 혀밑에 설소대가...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000049844
18,5일 경침 추위 서울 영하 6도,2001.03.04.,"경남 서부 내륙지방과 전북 내륙지방에는 한때 대설주의보가 발령되기도 했으며 전북 장수 10.5㎝, 경남 거창군 7.0㎝의 적설량을 기록했다. 대구 마산 속초 등지에서는 ‘봄의 불청객’인 황사가 발생했다. yongari@donga....",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000050968
19,문학중견비평가 최원식김인호씨 위기의 문학활로 모색,2001.08.06.,"유토피아적 거대 서사에 치우쳤던 80년대 소설은 ‘대설(大說)’로 날아갔고, 이에 대한 반동으로 등장한... 결국 최씨가 ‘창조적 한국문학’의 가능성으로 강조하는 것은 ‘소설과 대설의 회통(會通)’이다. “‘문’...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000078667
