,title,date,contents,link
0,경북 영천 345도남부 평년보다 49도 높아,2000.05.23.,기상청은 우리나라 남쪽 해상에 중심을 둔 고기압에서 비롯된 남서기류가 계속 유입되고 있는데다 맑은 날씨로 인한 복사열이 많아 당분간 무더위가 계속될 것이라고 밝혔다. 기상청은 24일의 낮기온도 대구 31도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000005880
1,경북 영천 사흘째 무더위26일부터 꺾일듯,2000.05.24.,24일 경북 영천지역이 올해 낮 기온으로 가장 높은 34.9도를 기록하는 등 한여름 무더위가 사흘째 계속됐다.... 기상청은 이러한 무더위는 남쪽 해상에 중심을 둔 고기압에서 불어온 따뜻한 남서기류가 낮 동안...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006267
2,경남 진주 25일 37도5월 사상 최고 더위,2000.05.25.,넘는 무더위가 계속됐다. 기상청은 이날 진주의 기온은 지금까지 5월 낮기온으로 최고였던 1962년 5월31일 대구의 36.6도를 깬 것이라고 밝혔다. 기상청은 나흘째 계속된 무더위가 26일 전국적으로 비가 내리면서 한풀...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000006484
3,객장리포트현대사태 불구 지수 소폭하락 의외,2000.05.29.,"무더위가 일찍 찾아오면서 여름특수가 기대되는 빙그레 롯데삼강 롯데칠성 하이트맥주 등 빙과 청량음료 맥주업체, 센추리 신일산업 등 에어컨및 선풍기 제조업체 주가가 큰폭 상승했 다. 현대그룹주는 장초반...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000007481
4,오늘의 날씨5일햇볕은 쨍쨍 모래알은 반짝,2000.06.04.,"무더위가 이어지면서 시원한 음료수를 많이 찾는다. 음료수는 기온이 25도 이상 올라가면 매출이 급격하게 증가한다. 일본 한 연구소의 조사에 따르면 과즙음료는 25도 이후 1도 상승할 때마다 20%씩, 콜라는 15...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000008851
5,6월 불볕더위는 장마앞 고온현상안동 346도,2000.06.05.,1도에 이르는 무더위를 보였다. 기상청에 따르면 3∼5일의 수은주는 평년 6월 초순보다 약 5도 정도 높은 상태. 이미 5월말에도 전국이 30도를 넘나드는 무더위를 보인 적이 있다. 올해는 왜 이리 더운 것일까. 기상청은...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000009071
6,시드니올림픽 100태릉선수촌 훈련 현장,2000.06.06.,섭씨 30도가 넘는 무더위에다 인조잔디에서 올라오는 지열 때문에 ‘가마솥’을 방불케 하는 대운동장에서 여자하키선수들이 스틱을 들고 열심히 뜀박질을 하고 있다. 탁구전용체육관에선 시드니올림픽에서 ‘중국의...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000009180
7,오늘의 날씨7일땡볕 더위에 부채생각 간절,2000.06.06.,"하나 더, 빚쟁이 만났을 때 얼굴을 가려주는 덕. 옛사람들의 해학과 낭만이 우리를 시원하게 한다. 전국이 맑은 후 점차 구름이 많아지겠다. 한낮에는 여전히 무더위. 아침 15∼22도, 낮 28∼34도. kplee@donga.com",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000009167
8,주식투자 초보탈출계절효과,2000.06.07.,본격적인 무더위를 앞두고 주식시장에서 여름철 성수기산업에 대한 ‘계절 효과’ 기대가 높아지고 있다.... 올해는 무더위가 일찌감치 찾아온 데다 예년보다 경기가 좋다는 점에서해당업체는 더욱 기대를 갖고 있는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000009442
9,오늘의 날씨8일비내리는 들녘 개구리 울음,2000.06.07.,"맥주업체는 특히 올해 주세 인하라는 호재까지 겹쳐 기대가 크다. 비가 내려 기승을 부리던 무더위도 한풀꺾이겠다. 남해안과 제주지방에서는 돌풍 주의. 아침 17∼21도, 낮 24∼28도. pisong@donga.com",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000009398
10,벤처 라이프콩나물시루 벤처업계 여름이 무서워,2000.06.11.,늘어나면서 무더위를 호소하는 목소리가 높아졌기 때문. 추가 에어컨이 가동되기 전인 지난달만 해도 오후... 오후가 되면 시원한 수박이나 아이스크림을 회사가 구입해 함께 무더위를 쫓기도 한다. esprit@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000010067
11,e쇼핑인터넷 여름 쇼핑 어때요,2000.06.15.,‘날씨는 더워지고 바캉스철은 다가오고…’ 조만간 장마가 찾아왔다 끝나면 곧바로 무더위와 바캉스철이 이어진다. 인터넷 쇼핑몰들도 여름맞이 판촉행사에 한창이다. 시원한 저녁 PC앞에 앉아...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000010989
12,올 첫 열대야서울 사흘째 오존주의보,2000.06.20.,"기상청은 “중국 대륙성 고기압의 영향으로 복사열이 심화됐고 우리나라 주변에 온난핵이 위치, 더운 공기가 유입돼 무더위가 이어졌다”며 “내일부터 장마전선이 북상, 남부와 중부지방에 비를 뿌리면서 무더위가...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000011807
13,불쾌지수 1오르면 냉방기기 사용량 72만 증가,2000.06.21.,"‘불쾌지수, 기온과 전력 사용량간의 함수 관계는?’ 때 이른 무더위로 전력 사용량이 19일 이후 연일 사상 최고치를 경신하고 있다. 기록 경신 행진의 제1 원인은 냉방기기 사용. 한국전력이 여름철의 기온 및...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000012066
14,할인점 심야 쇼핑 급증값도 저렴해 인기,2000.06.22.,연일 30도를 오르내리는 초여름 무더위가 계속되면서 야간에 할인점을 찾는 ‘심야 쇼핑족’들이 크게 늘고 있다. 할인점들이 최고 매출을 올리는 시간대는 보통 오후 4∼6시경. E마트와롯데마그넷 등 할인점 업계에...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000012260
15,과학동아7월호게놈 해독이후 유전자 혁명 진단,2000.06.28.,아마존 정글을 탈출할 수 있는 방법을 소개하는 ‘로빈슨 크루소 따라잡기’와 금새라도 덮칠 듯한 파도 언덕을 미끄러져가는 서핑 화보기사는여름 무더위를 시원하게 달래준다. SF영화에서 자주 선보이고 있는 원격이동...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000013278
16,황금사자기스카우트 유심히 관전,2000.06.28.,선수들은 이닝이 끝나고 덕아웃으로 돌아오자 마자 연방 음료를 들이키는 등 무더위를 식히느라 애쓰는 모습. 외야쪽 관중들도 햇볕을 피해 조명탑밑의 그늘쪽으로 줄지어 앉아 일자로 행렬이 만들어지기도. 한편...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000013325
17,잠못이루는 열대야 4일까지 계속,2000.07.03.,무더위로 잠을 설치는 밤이 계속되고 있다. 3일 아침 강릉지방의 최저기온이 올 들어 최고인 26.6도를 기록하는 등밤에도 온도가 25도 이상이나 되는 열대야가 지속되고 있다. 이날 강릉지방의 최저기온은 지난달 20일...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000014091
18,객장리포트여름특수기대 빙과 음료주 급등,2000.07.03.,무더위가 기승을 부리면서여름특수가 기대되는 빙과 음료업체의 주가가 급등했다. 해태제과가 상한가로 급등한 것을 비롯 롯데삼강 하이트맥주가 큰폭 올랐다. 하이트맥주는 장중 한때 5만4300원까지 오르면서...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000014205
