,title,date,contents,link
0,프로야구이종범 바람에 주니치 리그 2위,2000.05.18.,주니치는 곧 이은 8회말 4점을 내줘 승부는 원점으로 돌아갔지만 연장 13회 다쓰나미의 결승타와 나카무라의 2타점 적시타에 힘입어 7-4로 승리. 이로써 이종범은 타율을 0.284에서 0.291로 끌어올렸고 주니치는 올...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000004539
1,프로야구이종범 조성민에 안타,2000.05.29.,"조성민은 다음 타자 고메스에게 볼넷을 내줘 만루 위기를 맞았지만, 다쓰나미를 중견수 플라이로 잡아내고 야마사키를 삼진으로 잡아 실점 위기를 넘겼다. 조성민의 올시즌 평균 자책은 2.45. swon@donga.com",https://sports.news.naver.com/news.nhn?oid=020&aid=0000007184
2,프로야구이종범연일 불방망이2득점 1도루,2000.06.08.,1회초 볼넷을 고른 이종범은 2회초에는 우익수 플라이로 물러났으나 4회초 중전 안타로 살아나간 뒤 다쓰나미의 내야 땅볼 때 득점에 성공했다. 이종범은 8회초에도 2루 내야 안타로 살아나가 2루를 훔친 뒤...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000009588
3,프로야구이종범 2안타 주니치 선두 고수,2000.06.15.,이종범은 7회 우전 안타로 나간 뒤 다음타자 고메스의 몸에 맞는 볼 때 2루에 진루했고 다쓰나미의 적시타로 홈을 밟았다. 이종범은 3회 유격수 땅볼로 3루주자 야마모토를 홈에 불러들여 타점을 올렸다. 주니치가 4...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000010888
4,프로야구이종범 안타행진 마감,2000.08.08.,이종범은 8일 나고야돔구장에서 열린 일본프로야구 히로시마 카프와의 홈경기에서 0―2로 뒤진 1회말 무사 1루에서 2루수 실책으로 나가 다쓰나미의 2루타 때 동점 득점을 올렸지만 4타석을 삼진 2개 포함해...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000020390
5,프로야구이종범 대타 홈런,2000.08.20.,7회 다쓰나미의 희생플라이와 이노우에의 역전 2점홈런으로 4―3으로 앞선 8회 2사후 첫 타석에 들어선 이종범은 1점차의 불안한 리드에 쐐기를 박는 솔로홈런으로 호시노감독의 기대에 부응했다. 이로써 이종범은...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000022296
6,프로야구이종범 2안타 1득점 맹활약,2000.08.22.,주니치는 1회 다네다의 2루 앞 병살타 때 이종범이 득점하고 다쓰나미의 2루타 때 고메스가 홈을 밟아 올린 2점을 끝까지 잘 지켜 2―0으로 승리했다. zangpabo@donga.com,https://sports.news.naver.com/news.nhn?oid=020&aid=0000022716
7,하이라이트11일사과나무 외,2004.12.10.,◆미지의 세계-대재앙의 파도 메가 쓰나미&lt;다큐·iTV 오후 7:55&gt; 높이 500m가 넘는 해일인 메가 쓰나미의 파괴력과 발생 원인을 분석한다. 이 해일은 지진과 화산 폭발로 일어난 산사태 때문에 수천 수만톤의 흙이 한꺼번에...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=020&aid=0000274896
8,지진해일 쓰나미는육지 가까이 올수록 커져,2004.12.27.,쓰나미(津波·tsunami)’가 지진이나 화산 폭발 때문에 일어나는 ‘지진해일’의 세계 공용어로 자리 잡았다. 26일 동남아 지진이 해일을 동반하자 외신들은 일제히 ‘tsunami’라는 단어로 피해 소식을 전했다. 쓰나미는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000277573
9,동남아 지진해일지진해일 화산산사태로도 촉발,2004.12.27.,[동아일보] 대형 ‘쓰나미(tsunami·지진해일)’를 동반한 동남아 강진은 ‘지진의 얼굴’에 대한 관심을... AFP 통신은 아프리카 북서부 카나리 제도에서 화산 폭발로 인해 쓰나미가 발생할 가능성이 높다면서 이로 인해...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000277697
10,횡설수설김순덕쓰나미,2004.12.27.,"파도도 거의 없는데 수면이 우뚝 치솟더니 순식간에 도로와 집을 덮쳤다. ” 스리랑카에서 이번 쓰나미... ▷쓰나미가 영어인지 일본어인지, 어떻게 쓰는 건지, 읽는 건지 이번에 처음 안 이도 적지 않을 터다. 나루(津)와...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=020&aid=0000277736
11,동남아 지진해일집채만한 파도 순식간 덮쳐,2004.12.28.,유재동 기자 jarrett@donga.com 정양환 기자 ray@donga.com ▼[동남아시아 지진·해일]한국인 51명 연락두절▼ 26일 인도네시아 수마트라 서부해안에서 발생한 지진과 동남아시아 해역에 몰아친 강력한 지진해일(쓰나미·津波)로...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000277667
12,동남아 지진해일외국인 피해 더 늘듯,2004.12.28.,"[동아일보] 지진해일(쓰나미)이 밀어닥친 피해지역 가운데는 유명 관광지가 적지 않아 상당수 외국인들이 사망하거나 실종됐다. 일본 외무성은 스리랑카, 태국, 몰디브 등에서 생사가 확인되지 않는 일본인은 관광객...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&oid=020&aid=0000277760
