,title,date,contents,link
0, 앞둔  체제개편 바람민주당한나라당,2000.04.30.,이 때문에 이들이 독자세력을 구축하거나 당내 민주화에 대한 목소리를 높일 경우 계보정치에 의한 이합집산식 정치행태를 바꾸는 촉매역할을 할 수 있다는 점에서 당의 권력재편과정에서 ‘태풍의 눈’으로 등장할 수...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000000968
1,이슈 따라잡기증시 태풍의 눈 현대 파동,2000.05.01.,최근 증시 태풍의 눈은 단연 '현대 파동'이다. '현대 파동'과 함께 '시장 신뢰'라는 말도 증시참여자들에게 최대 화두로 부상하고 있다. 이처럼 현대문제는 시장의 신뢰와 맞물려 주가의 급등과 폭락을 반복하게 만든 주인...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000000210
2,올 1호 태풍 돔레이 발생국내영향 가능성 희박,2000.05.08.,"올 들어 첫 태풍이 발생했다. 기상청은 8일 “서태평양에 있던 열대성 저기압이 7일 오전 9시 제1호 태풍 ‘돔레이’(Damrey)로 발달, 이날 오전 9시 현재 필리핀 마닐라 동쪽 1100㎞ 부근 해상(북위 14.1도, 동경 131....",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001991
3,다큐 지구의 종말  22일부터 방영,2000.05.17.,"프랑스에서 1998년 제작된 이 다큐멘터리는 바이러스, 핵, 자연재해, 소행성, 태풍 등 지구를 종말의 위기로 몰고갈지도 모를 여러 재해의 가능성을 소개하며 경고 메시지를 보내는 프로그램이다.",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=020&aid=0000004457
4,벤처칼럼김성현뜨는 손정의 지는 빌 게이츠,2000.05.21.,"벤처기업은 태풍 속에서 망망대해를 항해하는 선박과 같다. 한때 태풍의 눈 속에 들어가 파도가 잔잔해졌다고 해서 긴장을 늦춰서는 큰코다치기 십상이다. 꿈을 키우고, 이를 이루기 위해 늘 준비하는 자만이 폭풍우를...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000005296
5,총리 지명각부처 반응대체로 환영 경제부처 관망,2000.05.22.,한편 총리비서실 직원들은 20년의 정치경력을 가진 이총재가 총리로 취임할 경우 ‘인사태풍’의 강도가 어느 정도일지에 촉각을 곤두세우는 모습. ○…남북정상회담 준비로 분주한 통일부의 한 당국자는 “정상회담...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000005493
6,법정근로시간 단축 묘수는 없나재계노동계 입장,2000.05.24.,주가불안과 함께 경제안정을 가늠하는 ‘태풍의 눈’이 될 전망이다. 양측은 근로시간 단축에 공감하고 있다. 그러나 방법을 놓고는 현저한 입장 차이를보이고 있다. 노동계는 근로시간 단축 등과 관련한 협상이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000006108
7,기상청 올여름 장마 일찍 왔다 일찍 간다,2000.05.25.,기상청은 또 올 여름 태풍은 평년(11.7개)과 비슷하게 발생하겠지만 우리나라에 영향을 주는 태풍수는 평년(2.4개)보다 많아질 것이라고 밝혔다. 장마가 지나간 뒤에는 찜통더위가 시작될 전망. 월별로는 6월은 평년...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006597
8,이슈따라잡기 정부 하반기 경제운용계획 수립 착수,2000.05.26.,"아울러 6월 이후에도 내수 확대와 공공요금 인상이나 임금인상, 여름철태풍 등에 따른 농축수산물 공급애로 등에 따른 인플레 가능성을 눈여겨봐야하고, 특히 임금협상을 둘러싼 노동쟁의과 그에 따른 생산·수출 차질...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000006684
9,기자의 눈박래정사태 원인은 황제경영,2000.05.28.,현대사태가 어떤 태풍을 몰고 올지 모두가 불안하다. 자금시장은 이미 동면(冬眠)에 들어갔고 금리가 치솟을 것을 예상한 자금 운용자들은 현금확보에 비상이 걸렸다. 정부 장관급 인사 7명이 한데 모여 현대측 결단을...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000007064
