,title,date,contents,link
0,기상라니냐 올 여름 사라질 것,2000.05.17.,스페인어로 ‘여자아이’를 뜻하는 라니냐는 태평양 적도 부근의 해수면 온도가 급속히 낮아지는 현상으로 가뭄 홍수 폭염 한파 등의 이상기후를 일으키는 것으로 알려져 있다. 기상전문가들은 98년과 99년 여름...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000004446
1,오늘의 날씨29일출근길 짙은 안개 조심,2000.05.28.,엘니뇨의 반대말인 라니냐는 적도 부근 태평양의 해수 온도가급격히 낮아지는 현상으로 주로 폭염과 한파를 일으키는 것으로 알려져 있다. 1987∼88년 라니냐로 인해 전지구상에서 놀라울 정도의 기온 상승이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006991
2,6일까지 전국 비열대야현상 5일까지 계속,2000.07.04.,4일에도 중국 대륙의 열대성 고기압의 영향으로 대부분 지방이 30도를 넘는 폭염이 계속됐다. 지역별 낮 최고기온은 △홍천 35.3도 △충주 35.1도 △전주 34.7도 △수원 34.2도 △서울 33.8도 등이다. 한편 불볕더위가...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000014319
3,중동유럽 살인 더위 신음,2000.07.04.,살인적인 폭염으로 지구촌 곳곳이 신음하고 있다. 중동은 사상 최고치인 50도가 넘는 살인 더위로 고통받고... 요르단은 예년보다 8도 높은 40도의 폭염이 몰아쳐 많은 어린이와 여성이 일사병으로 쓰러졌다. 이런...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000014377
4,전력 최대수요 사상 처음 4천만 돌파,2000.07.04.,연일 계속된 폭염으로 전력 최대수요가 올 들어 4번째 경신됐다. 한전은 “에어컨 등 냉방기 사용으로 인해 오후 2시부터 5시까지의 전력 최대수요가 급격하게 올라가고 있다”고 말했다. mjlee@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000014462
5,2세여아 폭염속 승용차안 질식사,2000.07.05.,"경찰은 권양이 문이 잠기지 않은 상태였던 승용차 안에 들어가 놀다 잠이 들었다가 폭염으로 차안 온도가 갑자기 상승, 공기 중 산소농도가 떨어지는 바람에 사고를 당한 것으로 추정하고 있다. &lt;안동=정용균기자...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000014669
6,마른 장마 찜통 더위 계속11일께 비온뒤 한풀꺾일듯,2000.07.05.,기상청은 “폭염의 장기화는 장마전선의 아래축을 이루는 북태평양 고기압이 일시 약화돼 전선이 제주 남해상에 머문 채 한반도 쪽으로 북상하지 못하고 있는데다 제3호 태풍 ‘기러기’ 등으로 인한 기압배치...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000014668
7,서울 342도5일째 가마솥더위,2000.07.06.,기상청은 “폭염의 장기화는 장마전선의 아래 축을 이루는 북태평양고기압이 일시 약화돼 전선이 제주 남해상에 머문 채 한반도 쪽으로 북상하지 못하고 있기 때문”이라고 설명했다. 대신 장마전선의 위 축을...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000014778
8,인터뷰 안용섭 한전 급전운영부장,2000.07.06.,생겨 10% 이상의 전력예비율을 유지할 수 있다 는 것이다. 전력예비율은 전체 전력설비 대비 여유전력의 비율. 90년대 초 기록적인 폭염 때는 예비율이 2∼3%선까지 떨어져 제한 송전 직전까지 가기도 했다. mjlee@donga.com,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000014822
9,세계의 불볕더위유럽중동지역 살인더위 공포,2000.07.07.,"연일 40도를 넘는 ‘살인 폭염’이 계속되면서 지구촌 곳곳이 신음하고있다. 유럽과 중동지역에서 며칠째... 크로아티아에서는 5, 6일 이틀 동안 40도 이상의 폭염으로 40명이 숨지고 수백명이 병원으로 긴급 수송됐다....",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000015028
10,대구경북도내 댐 및 저수지 바닥,2000.07.07.,연일 35도를 오르내리는 폭염속에 ‘마른 장마’가 계속되면서 경북도내 댐과 저수지의 저수율이 빠른 속도로 낮아지고 있어 극심한 용수난이 우려된다. 경북도에 따르면 올들어 지금까지 도내의 평균 강수량은...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000015125
11,지구촌 재해사고 몸살폭탄테러등 100여명 사상,2000.07.10.,"폭탄 테러, 항공기 추락, 경기장 난동에 폭우, 폭염, 산불까지…. 최근 지구촌 곳곳에 대형 사건사고와... 9일 카타르 수도인 도하의 낮기온은 50도까지 치솟는 등 30여년 만에 최악의 폭염이 기승을 부렸다고 카타르...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000015465
12,스포츠는 내친구싱크로에 빠진 김미숙씨 인어공주됐어요,2000.07.11.,"폭염이 기승을 부리던 9일 서울 강서구 염창동 한강실내수영장. 풀장 한켠에서 30대 중반으로 보이는 3,4명의 주부들이 물속에서 열심히 서로 다리를 맞대고 삼각형 사각형 등 도형모양을 만들고 있었다. 일명 '수중발레...",https://sports.news.naver.com/news.nhn?oid=020&aid=0000015628
13,강원춘천 세월교 새 명도 떠올라,2000.07.21.,이 때문에 최근 30도를 웃도는 폭염 속에서도 세월교 인근은 찬 바람이계속 불어 이 소문을 듣고 찾아온 피서객들로 북새통을 이루고 있다. 특히 야간에는 기온이 갑자기 내려가면서 안개가 끼는 현상까지 일어 이를...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000017660
14,부산경남기능직 공무원 때 아닌 공부 열풍,2000.07.26.,지방자치단체에 근무하는 기능직 공무원들이 구조조정의 ‘파고’를 헤치고 살아남기 위해 폭염도 잊은 채 시험공부에 몰두하고 있다. 행정자치부가 5월 말 내려보낸 ‘초과 현원(現員) 해소지침’에 따라 각...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000018271
15,강원강릉 저수율 바닥 식수난,2000.07.26.,강원 강릉지역 주민들이 폭염이 계속되는 가운데 식수난까지 겹쳐 어려움을 겪고 있다. 25일 강릉시에 따르면 22일부터 전국적으로 집중호우가 쏟아졌으나 지역에는 12.5㎜의 비만 내려 강릉시민의 젖줄인 오봉댐...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000018283
16,정은령기자의 책사람세상삶과 책의 마감시간,2000.07.28.,"폭염 속에서 일평생 독서가로 정진한 노교수의 고별강연을, 책 읽는 모든 정신에 바치는 격려사로 다시 새겨 읽어본다. “아직 갈 길이 멉니다. 우리가 알고 생각할 수 있는 세계보다 더 높고더 고귀하고, 더 성스러운...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000018743
17,아침을 열며임의진사랑을 뿜어내는 부채바람,2000.07.30.,하여 이 폭염에도 아랑곳없이 가솔을 책임진 최씨는 연장을 챙겨들고 새벽 어귀를 나섰다. 공사판 모퉁이에 파리를 날리며 쪼그려 앉아 시원한 막걸리 한잔이라도 얻어 마셨는지…. 밀린 임금은 받아 쥘 기미가 어떻게...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000018891
18,강성구의원이회창총재 메일 대화 화제,2000.08.25.,"‘아침저녁으로 제법 선선한 기운을 느끼지만, 여의도에는 폭염이 웅크리고 있습니다’는 말로 시작된 강의원의 메일은 다음과 같은 당부로 끝을 맺었다. ‘뇌사 국회니 휴면 국회니 하는 비아냥을 듣고 있으려면 한때...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000023206
