,title,date,contents,link
0,골프그늘집8일 일동레이크 사생대회 개최,2000.05.04.,▼'서원밸리'등 내달 개장▼ ○…국제통화기금(IMF) 한파로 인한 부도 등으로 건설이 중단됐거나 회원권 분양이 저조했던 서원밸리와 마이다스 백암비스타 그린힐CC 등이 6월 일제히 개장한다. 이중 서원밸리는...,https://sports.news.naver.com/news.nhn?oid=020&aid=0000001576
1,당신은 정신적 실업자몸은 회사에 있지만 마음은 ,2000.05.05.,이같은 현상은 기업에서 관행처럼 굳어져 있던 ‘평생 직장’의 문화가 IMF 한파와 ‘벤처 열풍’으로 뿌리째 흔들리면서 가속화하고 있다. ▼IMF한파-벤처열풍 휴유증▼ IMF 한파로 대규모 구조조정이 이루어지면서...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001711
2,아 그렇군정재승머피의 법칙과 무관,2000.05.05.,소풍날엔 봄비가 내리고 수능시험 날에는 한파가 몰아친다. “하필이면 이 때…” 이런 상황을 흔히 ‘머피의 법칙’(Murphy’s law)이라고 부른다. 한마디로 재수없는 법칙이다. 과연 그럴까. 영국 애쉬톤대학에서...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000001776
3,기상라니냐 올 여름 사라질 것,2000.05.17.,스페인어로 ‘여자아이’를 뜻하는 라니냐는 태평양 적도 부근의 해수면 온도가 급속히 낮아지는 현상으로 가뭄 홍수 폭염 한파 등의 이상기후를 일으키는 것으로 알려져 있다. 기상전문가들은 98년과 99년 여름...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=020&aid=0000004446
4, 변천사자의반타의반의 유신본당,2000.05.26.,▽연작안지홍곡지지재(燕雀安知鴻鵠之志哉)〓93년 개혁과 사정 한파가 몰아치자 “신한국을 창조하시려는 홍곡의 큰 뜻을 비록 연작이지만 어찌촌탁하지 못하겠습니까”라며. ▽줄탁동기(u啄同機)〓97년 대선정국을...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000006755
5,투자전략주간전망변동성 증가 리스크관리 강화해야,2000.05.27.,"◆현대문제 추이가 최대 변수 살아나는 듯 하던 증시가 현대의 자금난 설로 다시 한파를 맞았다. 거래소 시장은 지난26일 현대 문제가 다시 불거지면서 종합주가지수가 650대로 추락, 5월의 마지막 주도 현대 풍파에...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000006936
6,오늘의 날씨29일출근길 짙은 안개 조심,2000.05.28.,엘니뇨의 반대말인 라니냐는 적도 부근 태평양의 해수 온도가급격히 낮아지는 현상으로 주로 폭염과 한파를 일으키는 것으로 알려져 있다. 1987∼88년 라니냐로 인해 전지구상에서 놀라울 정도의 기온 상승이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000006991
7,증권 저평가종목 속출,2000.05.28.,국제통화기금(IMF) 한파가 한창이던 98년 종합지수가 280일 때도 이 회사의 주가는 1만2000원을 넘는 선에서 유지됐다. 최근 각 기업의 실적과는 무관하게 증시가 추락하는 상황에서 98년 6월16일 종합지수가 280일 때의...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000007091
8,현대사태 증권사 시각사재출연이 최선의 해법,2000.05.29.,한 증권사 임원은 “부채가 많고 경기의 영향을 크게 받는 일부 계열사들의 경우 현대건설을 지원하느라고 기진맥진해진 상태에서 한파를 맞으면 생존의 위기에 몰릴 우려도 있다”고 말했다. 이런 맥락에서...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000007286
9,씨네존한국 공포영화 부활하나공포영화 제작 붐,2000.06.05.,"IMF 한파가 지나가고 대중 문화 전반이 서구화되어가고 있는 지금, 관객은 새로운 자극을 간절하게 원한다는 것이다. 놀라움을 즐기기 위해 극장을 찾는 관객들에게 쫓고 쫓기는 연쇄살인극&lt;해변으로 가다&gt;와 스크린을...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=020&aid=0000008998
