,title,date,contents,link
0,고하 송진우선생 탄생 110주년 추모식 열려,2000.05.08.,첫해일뿐더러 광복 55주년이 되는 해이니 만큼 한국정치학회에서 광복절 이후 ‘건국의 지도자’라는 주제로 학술심포지엄을 열어 선생을 재조명할 계획”이라고 밝혔다. 이날 추모식에는 서영훈(徐英勳)...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001974
1,뉴스브리핑보험공사  10억달러 차입,2000.06.21.,85%로 만기는 6개월이다. 예금보험공사 관계자는 “현재 보유중인 한전주식 3240만주를 대상으로9월중 EB를 발행할 계획이지만 자금조달까지 시간이 걸리는 점을 감안해일시적으로 차입키로 했다”고 말했다.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000012131
2,준중형차 시장 잡아라 자동차 3 광고열전,2000.06.27.,혜성이 바다에 떨어지면서 생긴 해일이 뉴욕 맨해튼을 뒤덮는 영화의 한 장면을 최첨단 수퍼컴퓨터를... 해일이 자유여신상을 덮는 장면을 촬영하기위해 시애틀 부근 파도풀을 통째로 빌려 2m가량의 자유의 여신상...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000013096
3,인터뷰재난관리청 위트장관 과도한 개발 큰재해불러,2000.07.26.,자연과 더불어 살 생각을 하는 것이 최상의 예방책입니다. ” 위트 장관은 지구온난화로 인해 해수면이 높아지면서 해일 피해 지역이 점점 늘어난다며 재난 극복도 전지구적 차원에서 긴 시야로 봐야 한다고 말했다....,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000018333
4,전북서해안 저지대 백중사리 피해우려,2000.07.27.,또 이 기간 중에 집중호우와 태풍 해일 등이 겹칠 경우 수위가 1∼2m 정도 더 높아질 것으로 보인다. 군산시 관계자는 “이 기간에 바닷물 상승에 따른 범람 피해가 발생하지 않도록 저지대 주변에 모래주머니 등을...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000018460
5,새책가이아의 기업자연을 감싸 안아라 그래야 기업이 산다,2000.08.04.,"바람이 불고, 비가 오고, 해일이 일고, 화산이 폭발하는 현상이 지구의 신진대사란 관점이 그것이다. 이렇듯 생물과 무생물, 육지와 바다, 선진국과 후진국, 현재의 행동과 미래의 결과는 상호 불가분의 관계일 수밖에...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000019754
6,중국 731부대 유적 평화공원 조성123억 투입 보수,2000.08.15.,"중국은 도시화로 인한 731부대 유적 훼손을 막고 이 유적에서 발굴된 각종 세균실험도구와 인체해부기구, 세균탄 파편 등을 체계적으로 전시해일본의 침략상을 알리는 교육장으로 삼을 계획이다. 중국은 그동안 6...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000021419
7,태풍 프라피룬 31일 전국 큰비,2000.08.30.,기상청 관계자는 “특히 태풍으로 인해 매우 강한 바람이 부는 가운데 지역에 따라서는 총 강우량이 250㎜ 이상 되는 곳도 있겠다”고 밝히고 “이 기간에 바닷물도 높아져 서해안 및 남해안 저지대에서는 해일과...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000023917
8,김영남  돌연 취소대통령과 회담 무산,2000.09.05.,유엔 밀레니엄 정상회의 개막 직전인 6일 오전(이하 한국시간) 미국 뉴욕에서 열릴 예정이던 김대중(金大中)대통령과 북한 김영남(金永南)최고인민회의상임위원장간의 회담이 김위원장의 갑작스러운 방미 취소로 인해일...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000025059
9,전국 태풍 사오마이 영향권최악 귀경전쟁 몸살,2000.09.13.,"기상청은 특히 ""13일부터 태풍 전면에 있는 비구름대의 영향으로 남부지방에 내리기 시작한 비는 14일과 15일 최고 300mm에 이를 것으로 예상된다""며 14일부터 16일 사이는 해일의 우려가 있으므로 서해안 및...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000025821
