,title,date,contents,link
0,대구 매년 100만그루 나무심기하천정비로 환경개선,2001.05.10.,도시전문가들은 “녹지공간이 크게 늘어나면서 여름철 혹서뿐만 아니라 겨울철 혹한도 누그러지고 있다”며 “지방자치단체가 녹화사업 등을 통해 기후조건을 인위적으로 변화시킨 것은 매우 이례적인 일”...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000063364
1,기업중견기업들 경영혁신 아이디어 눈길,2002.06.03.,"외부에 설치되는 창호자재가 혹한 또는 혹서에서 변형되지는 않는지, 비를 맞으면 품질이 떨어지지는 않는지 등의 환경테스트를 실시하는 곳. 이곳에는 미리 설정된 환경 프로그램에 따라 강풍이 몰아치기도 하고, 50도...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0000133095
2,전쟁보다 힘든 재건포연은 걷혔지만 내일이 안보인다,2003.06.29.,전력 등 기초 시설이 복구되지 않아 곧 다가올 혹서(酷暑)가 우려되며 열악한 보건상태 때문에 전염병 발생 가능성도 높다. 국제 분쟁지역 지원단체인 국제위기그룹(ICG)은 “치안과 전력 식수 보건 고용문제 등 기초...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000194377
3,날씨와 사망 관계 분석 기온 상승에 따라 사망자 늘어나,2003.09.26.,환경부 관계자는 “혹서에 따른 전염병 및 사망이 증가하는 등 기후변화가 인체 건강에 미치는 영향이 큰 것으로 파악됐다”며 “홀로 사는 노인이나 도시 빈곤층 등 취약계층에 대한 대책 마련이 시급하다”고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000207184
4,회의적 환경주의자 저자 비외른 롬보르 인터뷰,2003.10.06.,"최대의 혹서(酷暑)를 경험했고 그 때문에 수천명이 사망했다. 지구온난화가 예상보다 빨리 닥치고 있는 게 아닌가. ▽롬보르=지구온난화가 작년 여름에는 대홍수를, 그리고 올해에는 혹서를 불러와 많은 인명피해가...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000208376
5,로키to안데스데스밸리세쿼이아국립공원,2004.02.05.,죽음의 계곡이라는 타이틀에 걸맞게 여름 최고 기온이 섭씨 50도를 오르내리는 혹서의 땅이다. 한겨울인 12월에도 반팔 옷을 입어야 할 정도다. 그래서 이곳을 방문하려면 11월에서 4월 사이가 적당하다. ○ 계곡 속의 소금...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000224841
6,콘서트새음반귀국독주회 앞둔 피아니스트 임동혁,2004.02.09.,"지난해 8월 런던에서 녹음했는데 50년만의 혹서를 맞아 땀을 흠뻑 흘리며 고생도 했지만, 편집된 음반을 들어보니 대체로 흡족해요. 다음 앨범은 협주곡 음반이 될 겁니다. 라흐마니노프 등을 놓고 선택에 고심...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=020&aid=0000225316
7,아시아는 잠못드는 밤유사 엘리뇨 무더위에 열대야,2004.07.23.,도쿄신문은 23일 일본 열도에 몰아닥친 혹서는 태평양 중앙부의 수온상승에서 비롯된 일종의 ‘유사 엘니뇨’ 현상 때문이라고 보도했다. ▼베이징▼ 사상 최대의 전력 소비를 기록했다. 중국 전력 송배전을 담당하고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000251876
8,수도권서울대공원 더위 꺾여 한숨돌렸네,2004.08.15.,경기 과천시 서울대공원 강형욱 홍보주임은 “혹서로 동물 관리에 비상이 걸려 어느 해보다도 여름나기가 힘들었다”며 “다행히 사육사와 수의사들의 노력으로 동물들이 한 마리도 병에 걸리거나 죽지 않았다”고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000255658
9,잇따르는 자연재해 지구가 심상찮다,2005.01.11.,브라질엔 가뭄과 혹서가 함께 왔고 멕시코에서는 화산재가 5km 상공까지 치솟았다. ▽폭우 폭설에 시달리는 지구촌=8일부터 유럽 북부를 휩쓴 폭풍우는 10일까지 적어도 16명의 희생자를 냈다. 폭풍은 아일랜드를...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000280133
