,title,date,contents,link
0,66세 할아버지의 효행88세  30년 봉양,2000.05.05.,김씨는 강원 영월에 살던 72년 큰 홍수로 산사태가 나면서 집이 매몰돼 아버지와 부인을 잃은 뒤 어머니(오분례·吳分禮·88)를 모시고 고향 충주로 돌아와 모시기 시작했다. 아파트 공사장에서 도배일 등을 하며...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001786
1,옴부즈맨 칼럼홍사종과외 대안찾기 기획 아쉬워,2000.05.07.,또 무기중개 로비의혹 사건을 보는 일간지끼리의 부풀리기 보도의 홍수 속에서 과감하게 한 지면을 할애한 기획도 이런 유의 사건이 터질 때마다 끓어오르던 마녀사냥식 집단 새디즘적 사회적 광기를 어느 정도 잠재우고...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001139
2,서부 10대개발사업 확정시안난징 1000km철도 건설,2000.05.07.,"중국은 또 올해 양쯔강 상류와 황허 중상류 지역에 있는 510만ha의 농경지에 대해 경작금지 조치를 내리고 대신 대규모 조림사업을 진행, 홍수 및 사막화를 방지할 방침이다. ▽기타〓그밖에도 칭하이(靑海)성에...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000001166
3,강원산불 피해 보고서홍수대비 해야,2000.05.08.,"▼""자연회복 가능지역 많아""▼ ▽평가 및 대책〓환경부 관계자는 “피해지역이 워낙 광범위하고 지역별로 피해 유형 및 정도가 찬차만별이었는데 장마철 홍수 피해가 우려되는 지역 등 당장 조림이 필요한 지역도...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000001987
4,발언대최중근댐 더 만들어 물부족 대비해야,2000.05.09.,"비가 2∼3주만 오지 않으면 갈수 현상이 나타나고 시간당 강우량이 10∼20mm만 되어도 홍수피해를 겪는다. 지난해 7, 8월 기록적인 홍수 피해를 겪었는데 몇 개월 지나지 않아 가뭄으로 제한급수를 하고 있는 것이다. 그동안...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000002368
5,세계 환경보호위해 개발지상주의 수정,2000.05.10.,세계은행이 제시한 새 대출 방침의 3대 목표는 △대기오염과 수인성 질병 등을 방지하는 것 △무질서한 천연자원 개발을 막아 쾌적한 환경을 유지하는 것 △홍수와 가뭄 등 자연재난 시에도 피해를 최소화하는...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=020&aid=0000002721
6,시민연대 르포산불 생태계 살리기 복원 병행,2000.05.12.,임업연구원 김석권(金錫權)연구관은 “토양에 유기물이 없어지고 간혹 싹이 자라더라도 흙이 흘러내리기 때문에 나무가 자라고 숲을 이루기 어려울 것 같다”면서 “우선 홍수에 대비해 흙이 흘러내리지 않도록 조치를...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000003168
7,지구 자연 인간환경의 복수 싼샤댐 자연파괴 심각,2000.05.14.,"대홍수의 주기를 100년으로 늘릴 수 있다”며 “이와 함께 상하이에서 내륙의 충칭(重慶)까지 수로가 트이게... 그러나 계곡 좌우에 펼쳐진 협곡 곳곳에는 댐 완공시의 만수위인 175m, 홍수위인 145m를 표시한 푯말이...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000003345
8,행정개방형 임용 아직 좁은 문민간인 선발 1명뿐,2000.05.15.,건설교통부는 지난달 말 한강홍수통제소장(3급) 후보자를 공개 모집했다. 외부 전문가 2명과 건교부 공무원 1명이 지원했으며 이 중 공무원이 선발됐다. 이밖에 국립중앙박물관장(1급) 특허심판원 심판장(2급)...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=020&aid=0000003750
9,텔레서베이홍수조절용 동강댐도 안된다 592,2000.05.16.,최근 정부는 환경파괴 논란을 빚어온 다목적용 동강댐 대신 담수량이 그 절반 수준인 3억t 규모의 홍수조절용 댐을 건설할 계획으로 알려졌다. 이에 대해 환경단체들은 다목적용이든 홍수조절용이든 댐 건설이...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0000003944
